12,27.8,30.7,"#7F7F7F"
12,30.7,33.3,"#FFFFFF"
12,33.3,35.8,"#8B0000"
12,35.8,38.2,"#8B0000"
12,38.2,46.4,"#000000"
12,46.4,49.1,"#FFFFFF"
12,49.1,51.5,"#BFBFBF"
12,51.5,54.9,"#FFFFFF"
12,54.9,56.6,"#BFBFBF"
12,56.6,58.1,"#FFFFFF"
12,58.1,63.1,"#404040"
12,63.1,65.1,"#FFFFFF"
12,65.1,67.7,"#7F7F7F"
12,67.7,71.5,"#FFFFFF"
12,71.5,75.7,"#404040"
12,75.7,80.3,"#FFFFFF"
12,80.3,86.7,"#000000"
12,86.7,89,"#FFFFFF"
12,89,92.6,"#000000"
12,92.6,96.2,"#FFFFFF"
12,96.2,101.6,"#404040"
12,101.6,103.8,"#FFFFFF"
12,103.8,109,"#7F7F7F"
12,109,111.7,"#FFFFFF"
12,111.7,112.3,"#BFBFBF"
12,112.3,114.3,"#FFFFFF"
12,114.3,116.8,"#7F7F7F"
12,116.8,118.1,"#FFFFFF"
12,118.1,120.7,"#7F7F7F"
12,120.7,125.9,"#FFFFFF"
12,125.9,129.3,"#7F7F7F"
12,129.3,133.851895,"#FFFFFF"
13,0,4.5,"#000000"
13,4.5,10,"#BFBFBF"
13,10,16.3,"#000000"
13,16.3,17.9,"#8B0000"
13,17.9,19.5,"#8B0000"
13,19.5,23.3,"#FFFFFF"
13,23.3,25.5,"#BFBFBF"
13,25.5,27.8,"#FFFFFF"
13,27.8,28.9,"#BFBFBF"
13,28.9,32.2,"#FFFFFF"
13,32.2,34,"#7F7F7F"
13,34,35.5,"#FFFFFF"
13,35.5,40.1,"#404040"
13,40.1,45.2,"#FFFFFF"
13,45.2,45.8,"#BFBFBF"
13,45.8,47.3,"#FFFFFF"
13,47.3,50.9,"#7F7F7F"
13,50.9,55.3,"#FFFFFF"
13,55.3,59.6,"#000000"
13,59.6,62.3,"#FFFFFF"
13,62.3,65.7,"#404040"
13,65.7,68.6,"#FFFFFF"
13,68.6,73.3,"#000000"
13,73.3,75.4,"#FFFFFF"
13,75.4,77.2,"#7F7F7F"
13,77.2,79,"#FFFFFF"
13,79,87.7,"#000000"
13,87.7,90,"#FFFFFF"
13,90,95,"#000000"
13,95,98.2,"#FFFFFF"
13,98.2,99.3,"#BFBFBF"
13,99.3,101.7,"#FFFFFF"
13,101.7,104.8,"#000000"
13,104.8,107,"#FFFFFF"
13,107,110.3,"#000000"
13,110.3,115.169878,"#FFFFFF"
14,0,3.7,"#000000"
14,3.7,8.1,"#BFBFBF"
14,8.1,16.1,"#000000"
14,16.1,17.6,"#8B0000"
14,17.6,19.1,"#8B0000"
14,19.1,24.6,"#FFFFFF"
14,24.6,33.3,"#000000"
14,33.3,35.3,"#FFFFFF"
14,35.3,36.6,"#7F7F7F"
14,36.6,37.8,"#FFFFFF"
14,37.8,43.5,"#000000"
14,43.5,47.2,"#FFFFFF"
14,47.2,50.9,"#000000"
14,50.9,54.1,"#FFFFFF"
14,54.1,55.5,"#BFBFBF"
14,55.5,58.1,"#FFFFFF"
14,58.1,62.1,"#404040"
14,62.1,64.8,"#FFFFFF"
14,64.8,67.9,"#7F7F7F"
14,67.9,70.2,"#FFFFFF"
14,70.2,73.8,"#7F7F7F"
14,73.8,79.3,"#FFFFFF"
14,79.3,83.6,"#000000"
14,83.6,84.9,"#FFFFFF"
14,84.9,89.8,"#000000"
14,89.8,91.9,"#FFFFFF"
14,91.9,94.7,"#BFBFBF"
14,94.7,96.3,"#FFFFFF"
14,96.3,101.4,"#7F7F7F"
14,101.4,103.2,"#FFFFFF"
14,103.2,104,"#7F7F7F"
14,104,107.34954,"#FFFFFF"
15,0,3.9,"#000000"
15,3.9,8.7,"#BFBFBF"
15,8.7,15.8,"#000000"
15,15.8,19,"#8B0000"
15,19,20.7,"#8B0000"
15,20.7,25.7,"#FFFFFF"
15,25.7,28.1,"#7F7F7F"
15,28.1,30.3,"#FFFFFF"
15,30.3,31.2,"#7F7F7F"
15,31.2,33.6,"#FFFFFF"
15,33.6,40.1,"#404040"
15,40.1,42.8,"#FFFFFF"
15,42.8,43.6,"#BFBFBF"
15,43.6,44.8,"#FFFFFF"
15,44.8,49.5,"#404040"
15,49.5,52.9,"#FFFFFF"
15,52.9,59.1,"#404040"
15,59.1,59.3,"#FFFFFF"
15,59.3,63.7,"#BFBFBF"
15,63.7,67.2,"#FFFFFF"
15,67.2,67.3,"#BFBFBF"
15,67.3,67.5,"#FFFFFF"
15,67.5,72.7,"#BFBFBF"
15,72.7,75.2,"#FFFFFF"
15,75.2,76.6,"#BFBFBF"
15,76.6,78.3,"#FFFFFF"
15,78.3,81.7,"#7F7F7F"
15,81.7,85.2,"#FFFFFF"
15,85.2,89.1,"#7F7F7F"
15,89.1,94.3,"#FFFFFF"
15,94.3,98.5,"#7F7F7F"
15,98.5,102.531392,"#FFFFFF"
16,0,7.9,"#FFFFFF"
16,7.9,10.5,"#7F7F7F"
16,10.5,12.6,"#FFFFFF"
16,12.6,14.8,"#7F7F7F"
16,14.8,16.8,"#FFFFFF"
16,16.8,21.2,"#7F7F7F"
16,21.2,24.2,"#FFFFFF"
16,24.2,28.1,"#7F7F7F"
16,28.1,34.6,"#FFFFFF"
16,34.6,36.6,"#8B0000"
16,36.6,38.6,"#8B0000"
16,38.6,47,"#000000"
16,47,52.6,"#FFFFFF"
16,52.6,56.7,"#7F7F7F"
16,56.7,57.4,"#FFFFFF"
16,57.4,66.7,"#000000"
16,66.7,70.8,"#FFFFFF"
16,70.8,72.9,"#7F7F7F"
16,72.9,74.1,"#FFFFFF"
16,74.1,79.2,"#404040"
16,79.2,81.7,"#FFFFFF"
16,81.7,84.2,"#7F7F7F"
16,84.2,87.1,"#FFFFFF"
16,87.1,88.7,"#BFBFBF"
16,88.7,90.354753,"#FFFFFF"
17,0,3.3,"#FFFFFF"
17,3.3,6.5,"#7F7F7F"
17,6.5,10.7,"#FFFFFF"
17,10.7,16,"#404040"
17,16,22.2,"#FFFFFF"
17,22.2,24,"#8B0000"
17,24,25.8,"#8B0000"
17,25.8,31.8,"#FFFFFF"
17,31.8,38.1,"#7F7F7F"
17,38.1,38.4,"#FFFFFF"
17,38.4,40.9,"#BFBFBF"
17,40.9,44.9,"#FFFFFF"
17,44.9,47.4,"#BFBFBF"
17,47.4,50.2,"#FFFFFF"
17,50.2,57.6,"#404040"
17,57.6,58.3,"#FFFFFF"
17,58.3,61.1,"#404040"
17,61.1,62.6,"#FFFFFF"
17,62.6,64.2,"#7F7F7F"
17,64.2,67.1,"#FFFFFF"
17,67.1,70.9,"#404040"
17,70.9,74.8,"#FFFFFF"
17,74.8,75.3,"#BFBFBF"
17,75.3,81.19521,"#FFFFFF"
18,0,2.9,"#FFFFFF"
18,2.9,7.1,"#7F7F7F"
18,7.1,8.5,"#FFFFFF"
18,8.5,10.9,"#BFBFBF"
18,10.9,15.4,"#FFFFFF"
18,15.4,17.2,"#8B0000"
18,17.2,19,"#8B0000"
18,19,25,"#FFFFFF"
18,25,32.7,"#000000"
18,32.7,37.2,"#FFFFFF"
18,37.2,43.5,"#404040"
18,43.5,48.2,"#FFFFFF"
18,48.2,53.8,"#404040"
