12,54.9,56.6,0.75,0.75,0.75
12,56.6,58.1,1,1,1
12,58.1,63.1,0.25,0.25,0.25
12,63.1,65.1,1,1,1
12,65.1,67.7,0.5,0.5,0.5
12,67.7,71.5,1,1,1
12,71.5,75.7,0.25,0.25,0.25
12,75.7,80.3,1,1,1
12,80.3,86.7,0,0,0
12,86.7,89,1,1,1
12,89,92.6,0,0,0
12,92.6,96.2,1,1,1
12,96.2,101.6,0.25,0.25,0.25
12,101.6,103.8,1,1,1
12,103.8,109,0.5,0.5,0.5
12,109,111.7,1,1,1
12,111.7,112.3,0.75,0.75,0.75
12,112.3,114.3,1,1,1
12,114.3,116.8,0.5,0.5,0.5
12,116.8,118.1,1,1,1
12,118.1,120.7,0.5,0.5,0.5
12,120.7,125.9,1,1,1
12,125.9,129.3,0.5,0.5,0.5
12,129.3,133.8,1,1,1
13,0,4.5,0,0,0
13,4.5,10,0.75,0.75,0.75
13,10,16.3,0,0,0
13,16.3,17.9,0.55,0,0
13,17.9,19.5,0.55,0,0
13,19.5,23.3,1,1,1
13,23.3,25.5,0.75,0.75,0.75
13,25.5,27.8,1,1,1
13,27.8,28.9,0.75,0.75,0.75
13,28.9,32.2,1,1,1
13,32.2,34,0.5,0.5,0.5
13,34,35.5,1,1,1
13,35.5,40.1,0.25,0.25,0.25
13,40.1,45.2,1,1,1
13,45.2,45.8,0.75,0.75,0.75
13,45.8,47.3,1,1,1
13,47.3,50.9,0.5,0.5,0.5
13,50.9,55.3,1,1,1
13,55.3,59.6,0,0,0
13,59.6,62.3,1,1,1
13,62.3,65.7,0.25,0.25,0.25
13,65.7,68.6,1,1,1
13,68.6,73.3,0,0,0
13,73.3,75.4,1,1,1
13,75.4,77.2,0.5,0.5,0.5
13,77.2,79,1,1,1
13,79,87.7,0,0,0
13,87.7,90,1,1,1
13,90,95,0,0,0
13,95,98.2,1,1,1
13,98.2,99.3,0.75,0.75,0.75
13,99.3,101.7,1,1,1
13,101.7,104.8,0,0,0
13,104.8,107,1,1,1
13,107,110.3,0,0,0
13,110.3,115.1,1,1,1
14,0,3.7,0,0,0
14,3.7,8.1,0.75,0.75,0.75
14,8.1,16.1,0,0,0
14,16.1,17.6,0.55,0,0
14,17.6,19.1,0.55,0,0
14,19.1,24.6,1,1,1
14,24.6,33.3,0,0,0
14,33.3,35.3,1,1,1
14,35.3,36.6,0.5,0.5,0.5
14,36.6,37.8,1,1,1
14,37.8,43.5,0,0,0
14,43.5,47.2,1,1,1
14,47.2,50.9,0,0,0
14,50.9,54.1,1,1,1
14,54.1,55.5,0.75,0.75,0.75
14,55.5,58.1,1,1,1
14,58.1,62.1,0.25,0.25,0.25
14,62.1,64.8,1,1,1
14,64.8,67.9,0.5,0.5,0.5
14,67.9,70.2,1,1,1
14,70.2,73.8,0.5,0.5,0.5
14,73.8,79.3,1,1,1
14,79.3,83.6,0,0,0
14,83.6,84.9,1,1,1
14,84.9,89.8,0,0,0
14,89.8,91.9,1,1,1
14,91.9,94.7,0.75,0.75,0.75
